Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m]
Ruraflex,Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Ruraflex_Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Ru33Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[> 900km],> 132kV,Ruraflex_Local Authority_[> 900km]_> 132kV,Ru34Y,0,0,0,0,0,0,0,0,0,0,0,0
Nightsave Small,Non-Local Authority,[0 - 300km],< 500V,Nightsave Small_Non-Local Authority_[0 - 300km]_< 500V,NS01N,0,0,0,0,0,0,170.395236,132.458226,364.116378,46.922388,19.740774,0
Nightsave Small,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Nightsave Small_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,NS02N,0,0,0,0,0,0,161.342214,125.93058,352.391418,45.355302,18.0384,0
Nightsave Small,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Nightsave Small_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,NS03N,0,0,0,0,0,0,160.158444,124.431138,339.426318,43.664202,17.553618,0
Nightsave Small,Non-Local Authority,[0 - 300km],> 132kV,Nightsave Small_Non-Local Authority_[0 - 300km]_> 132kV,NS04N,0,0,0,0,0,0,149.820186,116.494242,327.554796,42.130938,22.20978,0
Nightsave Small,Non-Local Authority,[301 - 600km],< 500V,Nightsave Small_Non-Local Authority_[301 - 600km]_< 500V,NS11N,0,0,0,0,0,0,172.672584,133.912572,367.848072,47.305704,19.876062,0
Nightsave Small,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Nightsave Small_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,NS12N,0,0,0,0,0,0,164.735688,128.512326,355.931454,45.794988,18.196236,0
Nightsave Small,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Nightsave Small_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,NS13N,0,0,0,0,0,0,163.518096,126.967788,342.921258,44.115162,17.688906,0
Nightsave Small,Non-Local Authority,[301 - 600km],> 132kV,Nightsave Small_Non-Local Authority_[301 - 600km]_> 132kV,NS14N,0,0,0,0,0,0,152.976906,118.861782,330.824256,42.55935,22.390164,0
Nightsave Small,Non-Local Authority,[601 - 900km],< 500V,Nightsave Small_Non-Local Authority_[601 - 900km]_< 500V,NS21N,0,0,0,0,0,0,174.273492,135.209082,371.433204,47.74539,20.112816,0
Nightsave Small,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Nightsave Small_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,NS22N,0,0,0,0,0,0,166.370418,129.853932,359.572956,46.257222,18.365346,0
Nightsave Small,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Nightsave Small_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,NS23N,0,0,0,0,0,0,165.10773,128.219202,346.39365,44.566122,17.790372,0
Nightsave Small,Non-Local Authority,[601 - 900km],> 132kV,Nightsave Small_Non-Local Authority_[601 - 900km]_> 132kV,NS24N,0,0,0,0,0,0,154.465074,120.090648,334.093716,42.987762,22.728384,0
Nightsave Small,Non-Local Authority,[> 900km],< 500V,Nightsave Small_Non-Local Authority_[> 900km]_< 500V,NS31N,0,0,0,0,0,0,176.144976,136.573236,375.25509,48.263994,20.23683,0
Nightsave Small,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Nightsave Small_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,NS32N,0,0,0,0,0,0,167.9826,131.094072,363.090444,46.73073,18.579552,0
Nightsave Small,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Nightsave Small_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,NS33N,0,0,0,0,0,0,166.821378,129.470616,349.899864,45.050904,17.959482,0
Nightsave Small,Non-Local Authority,[> 900km],> 132kV,Nightsave Small_Non-Local Authority_[> 900km]_> 132kV,NS34N,0,0,0,0,0,0,156.122352,121.398432,337.59993,43.483818,22.88622,0
